n,e,a,b,c
5005,70,10,2,1
10465,102,6,5,0
13585,116,11,2,2
14245,119,8,4,2
17017,130,10,4,1
21385,146,8,2,1
22165,148,16,2,1
23485,153,6,6,2
26845,163,16,4,2
28105,167,14,4,2
28405,168,12,6,1
29029,170,11,2,2
29785,172,14,2,1
30745,175,10,4,2
32305,179,16,2,2
35581,188,14,5,4
37345,193,8,4,4
37765,194,11,2,2
38665,196,14,7,2
41041,202,14,5,4
41965,204,18,5,0
46189,214,19,4,4
46345,215,10,4,2
47905,218,19,4,2
48433,220,5,2,2
48685,220,16,5,2
49105,221,16,2,2
53053,230,12,3,0
56485,236,28,2,1
58045,240,21,2,0
58765,242,14,2,1
59605,244,8,2,1
60445,245,20,4,2
60697,246,12,6,1
60865,246,18,5,0
63085,251,8,4,2
63745,252,15,4,0
64285,253,16,4,2
69685,263,22,4,4
72709,268,28,10,1
72865,269,22,4,2
73645,271,14,2,2
74305,272,17,4,4
75361,274,16,5,2
75985,275,18,6,0
76285,276,10,3,0
76405,276,15,2,0
78085,279,12,10,0
78793,280,19,4,4
79849,282,18,1,0
80845,284,13,4,2
81445,284,28,2,1
82621,286,28,5,4
85085,291,20,2,0
85813,292,23,4,2
86905,294,18,12,1
87505,295,20,8,4
87685,296,8,2,1
87745,296,11,2,2
88165,296,23,4,2
89089,298,16,5,2
90805,301,14,2,2
91273,302,8,2,1
91945,303,10,6,0
92785,304,19,2,2
94705,307,16,14,2
95095,307,29,2,1
95557,309,6,6,2
96577,310,21,6,0
99385,315,12,4,0
